Entity,Code,Year,Inbound arrivals (same day)
Albania,ALB,2007,65000
Albania,ALB,2008,83000
Albania,ALB,2009,64000
Albania,ALB,2010,52000
Albania,ALB,2011,67000
Albania,ALB,2012,71000
Albania,ALB,2013,220000
Albania,ALB,2014,127000
Albania,ALB,2015,162000
Albania,ALB,2016,507000
Albania,ALB,2017,293000
Albania,ALB,2018,587000
Albania,ALB,2019,278000
Albania,ALB,2020,54000
Albania,ALB,2021,174000
American Samoa,ASM,2010,17200
American Samoa,ASM,2011,18700
American Samoa,ASM,2012,27600
American Samoa,ASM,2013,28500
American Samoa,ASM,2014,30000
American Samoa,ASM,2015,26800
American Samoa,ASM,2016,18200
American Samoa,ASM,2017,22300
American Samoa,ASM,2018,31600
American Samoa,ASM,2019,39400
Andorra,AND,1999,7075000
Andorra,AND,2000,8042000
Andorra,AND,2001,7835000
Andorra,AND,2002,8120000
Andorra,AND,2003,8463000
Andorra,AND,2004,8877000
Andorra,AND,2005,8631000
Andorra,AND,2006,8510000
Andorra,AND,2007,8554000
Andorra,AND,2008,8134000
Andorra,AND,2009,7282000
Andorra,AND,2010,6743000
Andorra,AND,2011,5741000
Andorra,AND,2012,5663000
Andorra,AND,2013,5348000
Andorra,AND,2014,5433000
Andorra,AND,2015,5187000
Andorra,AND,2016,5206000
Andorra,AND,2017,5149000
Andorra,AND,2018,5286000
Andorra,AND,2019,5145000
Andorra,AND,2020,3335000
Andorra,AND,2021,3473000
Anguilla,AIA,1995,68000
Anguilla,AIA,1996,49000
Anguilla,AIA,1997,71000
Anguilla,AIA,1998,70000
Anguilla,AIA,1999,60000
Anguilla,AIA,2000,68000
Anguilla,AIA,2001,57000
Anguilla,AIA,2002,67000
Anguilla,AIA,2003,62000
Anguilla,AIA,2004,67000
Anguilla,AIA,2005,81000
Anguilla,AIA,2006,94000
Anguilla,AIA,2007,86000
Anguilla,AIA,2008,60000
Anguilla,AIA,2009,54000
Anguilla,AIA,2010,56000
Anguilla,AIA,2011,58000
Anguilla,AIA,2012,64000
Anguilla,AIA,2013,82000
Anguilla,AIA,2014,106000
Anguilla,AIA,2015,113000
Anguilla,AIA,2016,97000
Anguilla,AIA,2017,82400
Anguilla,AIA,2018,33000
Anguilla,AIA,2019,71000
Anguilla,AIA,2020,15700
Anguilla,AIA,2021,300
Antigua and Barbuda,ATG,1995,227000
Antigua and Barbuda,ATG,1996,270000
Antigua and Barbuda,ATG,1997,286000
Antigua and Barbuda,ATG,1998,336000
Antigua and Barbuda,ATG,1999,328000
Antigua and Barbuda,ATG,2000,427000
Antigua and Barbuda,ATG,2001,409000
Antigua and Barbuda,ATG,2002,310000
Antigua and Barbuda,ATG,2003,384000
Antigua and Barbuda,ATG,2004,523000
Antigua and Barbuda,ATG,2005,467000
Antigua and Barbuda,ATG,2006,584000
Antigua and Barbuda,ATG,2007,673000
Antigua and Barbuda,ATG,2008,597000
Antigua and Barbuda,ATG,2009,710000
Antigua and Barbuda,ATG,2010,558000
Antigua and Barbuda,ATG,2011,606500
Antigua and Barbuda,ATG,2012,572000
Antigua and Barbuda,ATG,2013,534000
Antigua and Barbuda,ATG,2014,522000
Antigua and Barbuda,ATG,2015,644000
Antigua and Barbuda,ATG,2016,609000
Antigua and Barbuda,ATG,2017,793000
Antigua and Barbuda,ATG,2018,795000
Antigua and Barbuda,ATG,2019,734000
Antigua and Barbuda,ATG,2020,151000
Antigua and Barbuda,ATG,2021,80600
Argentina,ARG,2016,3318000
Argentina,ARG,2017,3253000
Argentina,ARG,2018,3452000
Argentina,ARG,2019,3732000
Argentina,ARG,2020,1007000
Argentina,ARG,2021,163000
Aruba,ABW,1995,293000
Aruba,ABW,1996,316000
Aruba,ABW,1997,297000
Aruba,ABW,1998,259000
Aruba,ABW,1999,289000
Aruba,ABW,2000,490000
Aruba,ABW,2001,487000
Aruba,ABW,2002,582000
Aruba,ABW,2003,542000
Aruba,ABW,2004,576000
Aruba,ABW,2005,553000
Aruba,ABW,2006,591000
Aruba,ABW,2007,482000
Aruba,ABW,2008,556000
Aruba,ABW,2009,607000
Aruba,ABW,2010,570000
Aruba,ABW,2011,600000
Aruba,ABW,2012,577000
Aruba,ABW,2013,688000
Aruba,ABW,2014,667000
Aruba,ABW,2015,607000
Aruba,ABW,2016,656000
Aruba,ABW,2017,792400
Aruba,ABW,2018,815000
Aruba,ABW,2019,832000
Australia,AUS,1998,342000
Australia,AUS,1999,34000
Australia,AUS,2000,37000
Australia,AUS,2001,41000
Australia,AUS,2002,43000
Australia,AUS,2003,30000
Australia,AUS,2004,23000
Australia,AUS,2005,26000
Australia,AUS,2006,35000
Azerbaijan,AZE,2002,258000
Azerbaijan,AZE,2003,270000
Azerbaijan,AZE,2004,290000
Azerbaijan,AZE,2005,484000
Azerbaijan,AZE,2006,512000
Azerbaijan,AZE,2007,601000
Azerbaijan,AZE,2008,856000
Azerbaijan,AZE,2009,825000
Azerbaijan,AZE,2010,683000
Azerbaijan,AZE,2011,677000
Azerbaijan,AZE,2012,498000
Azerbaijan,AZE,2013,379000
Azerbaijan,AZE,2014,138000
Azerbaijan,AZE,2015,84000
Azerbaijan,AZE,2016,204000
Azerbaijan,AZE,2017,243000
Azerbaijan,AZE,2018,216000
Azerbaijan,AZE,2019,294000
Azerbaijan,AZE,2020,209000
Bahamas,BHS,1995,1640000
Bahamas,BHS,1996,1785000
Bahamas,BHS,1997,1828000
Bahamas,BHS,1998,1820000
Bahamas,BHS,1999,2071000
Bahamas,BHS,2000,2660000
Bahamas,BHS,2001,2645000
Bahamas,BHS,2002,2893000
Bahamas,BHS,2003,3089000
Bahamas,BHS,2004,3443000
Bahamas,BHS,2005,3154000
Bahamas,BHS,2006,3118000
Bahamas,BHS,2007,3063000
Bahamas,BHS,2008,2925000
Bahamas,BHS,2009,3309000
Bahamas,BHS,2010,3877000
Bahamas,BHS,2011,4233000
Bahamas,BHS,2012,4509000
Bahamas,BHS,2013,4774000
Bahamas,BHS,2014,4876000
Bahamas,BHS,2015,4616000
Bahamas,BHS,2016,4766000
Bahamas,BHS,2017,4684000
Bahamas,BHS,2018,4990000
Bahamas,BHS,2019,5444000
Bahamas,BHS,2020,1354000
Bahamas,BHS,2021,1210000
Bahrain,BHR,1995,915000
Bahrain,BHR,1996,787000
Bahrain,BHR,1997,989000
Bahrain,BHR,1998,1258000
Bahrain,BHR,1999,1261000
Bahrain,BHR,2000,1449000
Bahrain,BHR,2001,1599000
Bahrain,BHR,2002,1664000
Bahrain,BHR,2003,1889000
Bahrain,BHR,2004,2153000
Bahrain,BHR,2005,2399000
Bahrain,BHR,2006,2770000
Bahrain,BHR,2007,2898000
Bahrain,BHR,2015,5706000
Bahrain,BHR,2016,6168000
Bahrain,BHR,2017,7001000
Bahrain,BHR,2018,7678000
Bahrain,BHR,2019,7212000
Bahrain,BHR,2020,1082000
Bahrain,BHR,2021,1430000
Barbados,BRB,1995,485000
Barbados,BRB,1996,510000
Barbados,BRB,1997,518000
Barbados,BRB,1998,507000
Barbados,BRB,1999,433000
Barbados,BRB,2000,533000
Barbados,BRB,2001,528000
Barbados,BRB,2002,523000
Barbados,BRB,2003,559000
Barbados,BRB,2004,721000
Barbados,BRB,2005,563000
