Entity,Code,Year,Tourism GDP as a proportion of Total
Algeria,DZA,2008,0.8
Algeria,DZA,2009,1.1
Algeria,DZA,2010,1
Algeria,DZA,2011,0.9
Algeria,DZA,2012,0.9
Algeria,DZA,2013,1
Algeria,DZA,2014,1.1
Algeria,DZA,2015,1.3
Algeria,DZA,2016,1.4
Algeria,DZA,2017,1.6
Algeria,DZA,2018,1.7
Algeria,DZA,2019,1.8
Algeria,DZA,2020,1
Argentina,ARG,2016,1.9176736
Argentina,ARG,2017,1.9862579
Argentina,ARG,2018,1.8397866
Argentina,ARG,2019,1.8965118
Aruba,ABW,2013,19.9
Aruba,ABW,2014,21.1
Aruba,ABW,2015,21.6
Aruba,ABW,2016,21.2
Aruba,ABW,2017,21.2
Australia,AUS,2008,2.9031262
Australia,AUS,2009,2.8224325
Australia,AUS,2010,2.6923237
Australia,AUS,2011,2.723214
Australia,AUS,2012,2.8341722
Australia,AUS,2013,2.8530018
Australia,AUS,2014,2.9527414
Australia,AUS,2015,3.084575
Australia,AUS,2016,3.062835
Australia,AUS,2017,3.1034904
Australia,AUS,2018,3.0961983
Australia,AUS,2019,2.4101894
Australia,AUS,2020,1.3362693
Australia,AUS,2021,1.5803462
Australia and New Zealand,,2008,3.2181852
Australia and New Zealand,,2009,3.0603843
Australia and New Zealand,,2010,2.959768
Australia and New Zealand,,2011,2.938263
Australia and New Zealand,,2012,2.9282334
Australia and New Zealand,,2013,3.1413202
Australia and New Zealand,,2014,3.241639
Australia and New Zealand,,2015,3.4126801
Australia and New Zealand,,2016,3.4976134
Australia and New Zealand,,2017,3.4467652
Australia and New Zealand,,2018,3.4480126
Australia and New Zealand,,2019,2.8227909
Australia and New Zealand,,2020,1.8638124
Australia and New Zealand,,2021,1.7705777
Austria,AUT,2008,5.1956534
Austria,AUT,2009,5.120961
Austria,AUT,2010,5.439173
Austria,AUT,2011,5.434371
Austria,AUT,2012,5.404634
Austria,AUT,2013,5.387036
Austria,AUT,2014,5.392399
Austria,AUT,2015,5.3408937
Austria,AUT,2016,5.336438
Austria,AUT,2017,5.379478
Austria,AUT,2018,5.450972
Austria,AUT,2019,5.5874124
Austria,AUT,2020,3.5294685
Austria,AUT,2021,3.0296688
Azerbaijan,AZE,2016,3.7
Bahamas,BHS,2012,15.2
Bahrain,BHR,2017,7.3250937
Bahrain,BHR,2018,6.129361
Bahrain,BHR,2019,6.554989
Bahrain,BHR,2020,1.3963054
Belarus,BLR,2014,1.7846153
Belarus,BLR,2016,2.2304068
Belarus,BLR,2018,2.4975553
Belarus,BLR,2020,1.4203699
Belgium,BEL,2016,2.1816862
Belgium,BEL,2019,1.8550044
Bermuda,BMU,2008,4.9
Bermuda,BMU,2009,4.3
Bermuda,BMU,2010,5.2
Bermuda,BMU,2011,5.7
Bermuda,BMU,2012,5.2
Bermuda,BMU,2013,5
Bermuda,BMU,2014,4.6
Bermuda,BMU,2015,4.2
Bermuda,BMU,2016,4.7
Bermuda,BMU,2017,4.8
Bermuda,BMU,2018,5.3
Bermuda,BMU,2019,5.1
Bermuda,BMU,2020,1.8
Bermuda,BMU,2021,2.2
Bhutan,BTN,2019,9.521375
Botswana,BWA,2009,3.7
Botswana,BWA,2016,4.9
Brunei,BRN,2010,0.81
Brunei,BRN,2011,0.65
Brunei,BRN,2012,0.62
Brunei,BRN,2013,0.66
Brunei,BRN,2014,0.65
Brunei,BRN,2015,0.78
Brunei,BRN,2016,0.83
Canada,CAN,2008,1.9106842
Canada,CAN,2009,1.918498
Canada,CAN,2010,1.9197601
Canada,CAN,2011,1.9068742
Canada,CAN,2012,1.9225541
Canada,CAN,2013,1.8881774
Canada,CAN,2014,1.8857429
Canada,CAN,2015,2.0228736
Canada,CAN,2016,2.0822828
Canada,CAN,2017,2.078699
Canada,CAN,2018,2.0902102
Canada,CAN,2019,2.090093
Canada,CAN,2020,1
Canada,CAN,2021,1
Central Asia and Southern Asia,,2008,2.6507776
Central Asia and Southern Asia,,2009,2.8315835
Central Asia and Southern Asia,,2010,2.8891754
Central Asia and Southern Asia,,2011,2.3679345
Central Asia and Southern Asia,,2012,2.5616024
Central Asia and Southern Asia,,2013,2.5575888
Central Asia and Southern Asia,,2014,2.6928942
Central Asia and Southern Asia,,2015,2.478896
Central Asia and Southern Asia,,2016,2.4949012
Central Asia and Southern Asia,,2017,2.5272505
Central Asia and Southern Asia,,2018,2.5538802
Central Asia and Southern Asia,,2019,2.7599225
Central Asia and Southern Asia,,2020,0.5497645
Central Asia and Southern Asia,,2021,0.42650643
Chile,CHL,2008,3.2492762
Chile,CHL,2009,3.319001
Chile,CHL,2010,3.2462027
Chile,CHL,2011,3.156639
Chile,CHL,2012,3.454713
Chile,CHL,2013,3.136377
Chile,CHL,2014,3.1048307
Chile,CHL,2015,3.3981483
Chile,CHL,2016,3.6422906
Chile,CHL,2017,3.5403495
Chile,CHL,2018,3.2959533
Chile,CHL,2019,3.3139246
Colombia,COL,2008,2.5710747
Colombia,COL,2009,2.4838448
Colombia,COL,2010,2.4137785
Colombia,COL,2011,2.213654
Colombia,COL,2012,2.1300948
Colombia,COL,2013,2.0882123
Colombia,COL,2014,2.061599
Colombia,COL,2015,1.9038471
Colombia,COL,2016,2.0598714
Colombia,COL,2017,2.070051
Colombia,COL,2018,2.55753
Colombia,COL,2019,2.6381485
